sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
前鎮,高雄市,15,,良好,1.7,0.22,12,12.2,10,3,9.1,11.3,2.1,0.3,345,"2024/06/24 06:00:00",0.1,3.1,13,1,120.30833356,22.6044507,57
小港,高雄市,18,,良好,3,0.26,15.1,13.6,7,5,7.7,8.8,1.1,1,112,"2024/06/24 06:00:00",0.1,5.5,13,1,120.337736,22.565833,58
屏東,屏東縣,19,,良好,0.8,0.12,5,8.8,20,9,6.2,7.4,1.2,0.7,26,"2024/06/24 06:00:00",0.1,6,16,1,120.488033,22.673081,59
潮州,屏東縣,14,,良好,0.7,0.08,9.3,7.9,13,3,2.3,2.5,0.2,0.6,149,"2024/06/24 06:00:00",0,2.5,14,0,120.561175,22.523108,60
恆春,屏東縣,19,,良好,0.5,0.09,,20.6,9,7,1.9,2.7,0.8,0.6,147,"2024/06/24 06:00:00",0,5.2,10,0,120.788928,21.958069,61
臺東,臺東縣,16,,良好,0.9,0.1,8,10.2,11,11,4.6,5.5,0.9,0.2,311,"2024/06/24 06:00:00",0,4.9,14,1,121.15045,22.755358,62
花蓮,花蓮縣,14,,良好,1.2,0.11,10,14.8,14,5,2,3,0.9,1,286,"2024/06/24 06:00:00",0,4.4,14,0,121.599769,23.971306,63
陽明,臺北市,22,,良好,0.4,0.1,,24,9,4,1.5,1.9,0.4,,,"2024/06/24 06:00:00",0.1,3.8,10,0,121.529583,25.182722,64
宜蘭,宜蘭縣,17,,良好,0.3,0.13,10.4,15,12,4,4.5,5.3,0.8,0.3,188,"2024/06/24 06:00:00",0.1,5.3,16,0,121.746394,24.747917,65
冬山,宜蘭縣,34,,良好,0.5,0.47,2.3,7.9,30,11,9.5,11.8,2.3,0.3,210,"2024/06/24 06:00:00",0.2,10.6,29,0,121.792928,24.632203,66
三重,新北市,32,,良好,0.5,0.41,4.7,6.9,27,11,9.8,24.2,14.3,-,-,"2024/06/24 06:00:00",0.3,10,21,0,121.493806,25.072611,67
中壢,桃園市,23,,良好,1.3,0.38,4.4,7.1,18,9,8.1,19.6,11.5,0.3,174,"2024/06/24 06:00:00",0.3,7.2,17,0,121.221667,24.953278,68
竹山,南投縣,23,,良好,0.6,0.11,4.7,3.9,23,11,3.6,4.5,0.9,0.9,92,"2024/06/24 06:00:00",0.1,7.2,17,0,120.677306,23.756389,69
永和,新北市,34,,良好,0.7,0.19,8.5,8.7,26,10,3.3,5.3,1.9,1.4,170,"2024/06/24 06:00:00",0.2,10.6,20,0,121.516306,25.017,70
復興,高雄市,13,,良好,1.4,0.21,10.2,12.7,11,1,8.9,9.3,0.4,1,102,"2024/06/24 06:00:00",0.1,2.9,11,1,120.312017,22.608711,71
埔里,南投縣,29,,良好,1.1,0.16,5.4,11.9,20,12,2.9,4.6,1.6,0.5,300,"2024/06/24 06:00:00",0.1,9,18,1,120.967903,23.968842,72
馬祖,連江縣,19,,良好,0.6,0.08,17.5,20,17,3,4.3,4.8,0.5,5.4,183,"2024/06/24 06:00:00",0,3.7,17,0,119.93149378,26.15188416,75
金門,金門縣,17,,良好,0.8,,12.6,9.9,3,0,10.7,12.5,1.7,1.5,182,"2024/06/24 06:00:00",,2,4,0,118.312256,24.432133,77
馬公,澎湖縣,19,,良好,1.2,0.1,18.8,20.1,7,2,3.7,4.5,0.8,1.1,186,"2024/06/24 06:00:00",0,0.6,6,3,119.566158,23.569031,78
關山,臺東縣,32,,良好,0.5,0.09,4.5,6.9,23,11,2.4,3.8,1.4,0.7,144,"2024/06/24 06:00:00",0,9.9,22,0,121.161933,23.045083,80
